timestamp_s,x,y,polarity
0.000063000,4,137,-1
0.000067000,4,103,-1
0.000075000,282,91,-1
0.000075000,1,128,-1
0.000083000,16,89,-1
0.000096000,2,132,-1
0.000098000,280,91,-1
0.000098000,6,100,-1
0.000101000,281,91,-1
0.000105000,64,149,1
0.000109000,54,85,-1
0.000109000,269,94,-1
0.000109000,44,158,1
0.000110000,1,112,-1
0.000110000,28,157,1
0.000112000,3,106,-1
0.000112000,66,147,1
0.000113000,296,95,-1
0.000113000,55,155,1
0.000114000,2,108,-1
0.000114000,32,158,1
0.000116000,8,97,-1
0.000116000,0,120,-1
0.000117000,57,154,1
0.000118000,29,83,-1
0.000119000,67,146,1
0.000121000,48,83,-1
0.000121000,60,152,1
0.000121000,52,156,1
0.000122000,267,95,-1
0.000122000,258,103,-1
0.000123000,33,82,-1
0.000123000,15,90,-1
0.000123000,65,148,1
0.000124000,21,86,-1
0.000125000,49,157,1
0.000126000,253,116,-1
0.000127000,43,82,-1
0.000127000,23,85,-1
0.000129000,299,97,-1
0.000129000,7,98,-1
0.000130000,56,86,-1
0.000131000,26,84,-1
0.000132000,45,158,1
0.000134000,294,94,-1
0.000134000,73,137,1
0.000136000,77,122,1
0.000139000,42,82,-1
0.000141000,58,87,-1
0.000141000,292,93,-1
0.000141000,74,135,1
0.000142000,264,97,-1
0.000142000,76,129,1
0.000143000,263,98,-1
0.000145000,68,145,1
0.000147000,283,91,-1
0.000148000,271,93,-1
0.000148000,254,111,-1
0.000148000,70,142,1
0.000149000,75,132,1
0.000149000,300,142,1
0.000151000,77,120,1
0.000152000,19,87,-1
0.000152000,76,112,1
0.000152000,76,128,1
0.000155000,306,135,1
0.000156000,77,121,1
0.000156000,25,156,1
0.000157000,61,89,-1
0.000158000,34,82,-1
0.000160000,35,82,-1
0.000161000,77,119,1
0.000166000,253,115,-1
0.000168000,259,102,-1
0.000171000,308,131,1
0.000171000,72,139,1
0.000178000,75,108,1
0.000179000,289,92,-1
0.000179000,310,123,1
0.000181000,257,105,-1
0.000182000,272,147,1
0.000184000,307,133,1
0.000185000,297,139,-1
0.000188000,309,128,1
0.000189000,4,137,-1
0.000197000,287,148,1
0.000198000,274,92,-1
0.000200000,4,103,-1
0.000203000,281,91,-1
0.000206000,257,135,-1
0.000210000,64,149,1
0.000212000,303,139,1
0.000215000,301,141,1
0.000218000,44,158,1
0.000219000,54,85,-1
0.000219000,269,94,-1
0.000219000,1,112,-1
0.000219000,28,157,1
0.000223000,300,138,-1
0.000224000,282,91,-1
0.000224000,3,106,-1
0.000224000,66,147,1
0.000225000,296,95,-1
0.000225000,55,155,1
0.000226000,1,128,-1
0.000228000,310,124,1
0.000228000,32,158,1
0.000229000,2,108,-1
0.000230000,300,100,-1
0.000231000,0,120,-1
0.000232000,8,97,-1
0.000234000,57,154,1
0.000235000,29,83,-1
0.000238000,67,146,1
0.000238000,290,146,-1
0.000241000,48,83,-1
0.000242000,302,140,1
0.000242000,52,156,1
0.000243000,60,152,1
0.000244000,267,95,-1
0.000244000,258,103,-1
0.000245000,15,90,-1
0.000245000,304,138,1
0.000246000,33,82,-1
0.000246000,65,148,1
0.000248000,21,86,-1
0.000248000,16,89,-1
0.000250000,49,157,1
0.000252000,253,116,-1
0.000253000,288,148,1
0.000255000,43,82,-1
0.000255000,23,85,-1
0.000255000,263,102,-1
0.000257000,299,97,-1
0.000259000,7,98,-1
0.000260000,56,86,-1
0.000262000,26,84,-1
0.000264000,310,116,1
0.000265000,45,158,1
0.000268000,294,94,-1
0.000268000,73,137,1
